Last Automatic Update,5/23/2026 21:10:00
,Find something that isn't right? Mail me @ Grubu Niminenson in game and I will fix it.
,"In search of someone to take of this project as a whole. If you are interested, please mail me in game. Thanks"
Notes,
6/11/2021,Updated script with new esi link (https://esi.evetech.net)
2/11/2022,Project taken over by Nolak with Karr's blessing. Updating gas/ore sites. 
4/23/2022,Still need more ore scans. 
5/30/2022,Finalized update on Ore Anomalies.
7/12/2023,Project taken over by Grubu with Nolak's blessing. 
7/12/2023,Added Escalation note to Core Bastions
8/26/2023,"Updated: Perimeter Checkpoint, Wave 3. From 2 to 3 Emergent Patroller. Thanks Zuntrax"
10/2/2023,"Added DTA note to Class 6, ""The Mirror."" Thanks SYNDE & Gang"
11/29/2023,Updated: Drifter note to be a bit more clear. Requested by Harkin Issier 
1/19/2024,"Updated: Unsecured Frontier Enclave Relay, Wave 1. Optional Sleepless Sentinel. Thanks Taj"
1/19/2024,Updated: Unsecured Frontier Enclave Relay. Removed notes due to lack of clarity.
1/23/2024,"Updated: Unsecured Frontier Receiver, Wave 1. From 2 to 3 Awakened Preserver. Thanks Mallore Aulmais "
3/13/2024,"Updated: Forgotten Core Circuitry Disassembler, Wave 1. Optional Sleepless Guardian. Thanks Kyra"
3/13/2024,"Updated: Forgotten Frontier Recursive Depot, Wave 1. Rat Were Just Completely Wrong. Thanks Mallore Aulmais"
6/7/2024,Updated: Drifter and Avenger Notes per the June 7th 2024 update to C5/6 sites for Capitals
6/11/2024,"Updated: Avenger Loot Value from 20,000,000 to 12,900,000 after verifying claims from months ago."
9/25/2024,"Issue Report: Issue with font sizes on some browsers, work around, use Incognito Mode until it passes"
10/18/2024,"Updated: Forgotten Core Data Field, Wave 1. From 5 to 6 Emergent Sentinel. Thanks Rowenor & Ajeet"
11/28/2024,"Updated: Drifter Response Battleship, Added Drifter ReconBattleship. Thanks CCP"
11/28/2024,"Updated: Upgraded Avengers, Loot from 12,900,000 to 35,000,000. Thanks CPP Rampant, Quantum, Model"
11/28/2024,"Updated: Upgraded Avengers, Spawn on first capital but not the following capital types. Thanks patch notes"
12/3/2024,"Updated: Drifter Recon Battleship, Neut amount changed from 0 to -100. Thanks patch notes"
12/5/2024,"Updated: Unsecured Core Backup Array, Number of Upgraded Avengers spawned up from 3 to 4"
2/27/2025,"Updated: Phase Catalyst Node, Vigilant Sentry Tower marked as trigger, If one tower is kicked, Wave 2 will trigger."
2/27/2025,"Updated: Perimeter Camp, Wave 2, From 5 to 3 Emergent Patroller. Reducing payout to 9,600,00 down from 10,400,000. Thanks Ilandor Morrhart "
2/27/2025,Updated: Drifter in an attempt to make language more clear
6/3/2025,"Updated: Forgotten Frontier Recursive Depot, Wave 4. From 2 Emergent Defenders to 2 Emergent Preservers. Thanks, Julia & Keramond"
6/3/2025,"Updated: Solar Cell, Wave 2. From 3 Awakened Defenders to 2. Updated Site Payout also. Thanks Evie"
8/1/2025,"Issue with Tabs being at the bottom, ratherthan the top, Seems to be a Google thing, so RiP"
8/8/2025,Updated: Drifter Text from Captial to Capital. Thanks Zero
9/6/2025,Update: Tab issue has been resolved with a new link. Thanks to Solar Matrix. NEW LINK
9/29/2025,"Updated: Unsecured Frontier Enclave Relay, Total site value changed from 344,900,000 to 329,900,000. Thanks Alteru"
9/29/2025,"Updated: Upgraded Avengers, Loot from 35,000,000 to 50,000,000. Thanks CPP Rampant"
2/3/2026,Updated: Sleeper Data Signature Sanctuary to Sleeper Data Sanctuary. Thanks Francis
2/3/2026,"Updated: C5 sites to have the same ""DTA"" trigger tag as C6's for the sake of consistency."
2/3/2026,"Updated: Unsecured Core Backup Array, Site Text size from 12 to 14"
2/3/2026,Issue Report: The EHP shown is always using the value with the bonus NPC. The ISK shown is always using the value without the bonus NPC. Will Address in the near future
3/19/2026,"Updated: Drifter Recon Battleship, Hit points totals."
4/20/2026,"Updated: Ordinary Perimeter Reservoir, Sentry Towers replaced. Thanks CCP"