Type ID,Average Price,Adjusted Price
18,30.51,32.91232076
19,7841.77,848.6321047
20,481.18,379.8633576
21,722.94,614.9199877
22,3102.29,3415.030801
34,3.96,3.314189935
35,18.38,14.34824287
36,61.22,47.25852335
37,229.25,221.7993275
38,783.37,695.5144162
39,1559.53,1627.412674
40,2422.3,1603.654698
1223,2500.78,3550.451015
1224,24.21,27.66547938
1225,5155.51,3061.949834
1226,320.9,293.361962
1227,130.17,74.27096172
1228,17.71,19.0431168
1229,2108.08,371.1495091
1230,9.96,6.06862538
1231,1207.26,890.8647316
1232,3845.67,771.6076995
11396,13925.79,7637.726085
11399,21044.96,20674.23733
16266,208113.99,363735.9306
16267,254166.54,231739.3018
16268,253091.13,290743.983
16269,299738.81,346155.1791
17426,1040.75,1498.763619
17433,4495.85,1934.780336
17437,4138.86,1643.606471
17444,744.33,577.6186805
17445,801.71,488.4637922
17448,293.72,340.7096509
17449,304.63,292.6190069
17452,179.27,52.61361004
17453,192.26,232.4708029
17459,25.84,31.72303772
17460,34.86,41.89193516
17464,17.83,14.45412328
17467,4194.92,977.238506
17470,10.41,11.99815548
17866,2316.45,367.2148031
17870,16909,4916.793122
17975,146932.19,90558.44116
17977,130899.15,102657.1278
17978,159180.12,189015.5604
30370,4794.71,5070.851714
30371,4149.33,609.0671056
30372,6949.01,264.0270658
30373,7201.98,4967.240845
30374,9389.25,933.1680402
30375,11705.56,4454.494124
30376,18348.94,13060.15958
30377,38078.31,36702.0674
30378,49187.85,51327.26785